Vmag,Plx,e_Plx,B-V,Amag,Temperature,Amag^2,log_Vmag,Vmag-Amag
8.02,2.87,0.67,1.041,15.30941,4646.406583192409,234.3780345481,2.081938421878423,-7.28941
7.73,6.95,0.79,0.435,16.939924,6699.1874132057255,286.961025125776,2.0451088625993306,-9.209924
9.24,1.29,0.84,0.805,14.792949,5265.643815233092,218.831340116601,2.2235418856535927,-5.552949
9.71,4.14,1.69,0.576,17.795002,6063.132553027214,316.662096180004,2.2731562823032334,-8.085002
5.36,5.55,0.82,1.559,14.081465,3706.8690604336266,198.28765654622498,1.6789639750827108,-8.721464999999998
9.62,3.29,1.55,0.585,17.205978,6026.903140414548,296.0456789364841,2.263844264677615,-7.5859780000000026
7.09,3.94,0.59,0.732,15.067481,5494.522859843559,227.02898368536103,1.958685340544036,-7.977481000000001
7.87,2.67,1.01,1.549,15.002556,3721.263078615097,225.076686533136,2.063058062429312,-7.132556
8.8,4.48,1.07,0.294,17.056389,7500.209880697782,290.92040571932097,2.174751721484161,-8.256388999999999
8.57,-0.29,1.05,0.18,10.8819895,8321.091831351987,118.41769547811025,2.1482677326096886,-2.3119894999999993
9.23,4.24,1.31,1.152,17.366829,4405.119324533535,301.60674951524095,2.222459048514761,-8.136828999999999
7.43,2.55,0.63,1.26,14.4627,4194.273288699762,209.16969129,2.005525858729668,-7.0327
9.33,2.89,1.44,0.986,16.63449,4776.605012850675,276.70625756009997,2.2332350148592526,-7.3044899999999995
7.46,5.69,0.95,0.997,16.235561,4749.952630336402,263.59344098472104,2.0095554142156695,-8.775561
6.41,2.17,0.63,0.998,13.0922985,4747.545240656517,171.40828001310226,1.8578592709325787,-6.6822985
8.23,4.93,0.88,0.043,16.694233,9618.693380381961,278.697415458289,2.1077860146889784,-8.464233
8.6,1.92,1.09,0.302,15.016506,7449.176814955741,225.495452448036,2.151762203259462,-6.416506
6.95,12.81,0.95,0.485,17.487747,6457.710627208462,305.821295136009,1.9387416595767009,-10.537747
7.93,7.89,0.98,1.081,17.415384,4556.312641761511,303.29559986745596,2.0706530356467567,-9.485384
7.33,8.15,1.07,0.353,16.885788,7140.835626793466,285.129836380944,1.9919755158985601,-9.555788000000002
9.36,8.38,2.39,0.547,18.97622,6183.130031999174,360.0969254884001,2.2364452904895007,-9.616220000000002
8.39,4.88,0.74,0.377,16.8321,7005.134245240463,283.31959041,2.127040520479115,-8.4421
7.86,3.33,0.95,0.053,15.472221,9508.837098146008,239.38962267284097,2.061786606441115,-7.612220999999999
7.53,5.58,0.88,0.978,16.263172,4796.187802185826,264.490763501584,2.018895041811802,-8.733172
5.6,3.63,0.97,-0.057,13.399534,10896.877544532776,179.547511417156,1.7227665977411035,-7.7995339999999995
8.33,5.39,0.97,1.172,16.987944,4364.411127731703,288.590241347136,2.1198634561787513,-8.657943999999999
8.28,9.99,1.39,0.405,18.277828,6853.728300608523,334.078996397584,2.1138429683971682,-9.997828
7.13,4.81,0.72,1.25,15.540726,4212.905144216474,241.51416460707597,1.9643112344262046,-8.410726
